id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2021-02-24T07:10:18;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2021-02-24T02:10:38;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2021-02-24T04:19:40;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2021-02-23T21:04:05;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2021-02-24T12:27:11;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2021-02-23T23:49:17;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2021-02-24T02:45:49;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2021-02-23T16:48:28;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2021-02-23T19:38:04;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2021-02-23T20:20:29;601;74069
